block,time,moves,max_ferror_steps,count_error_steps,link_late,link_errors,mcu_bad_frames,watchdog,servo_tmax_us,motion_tmax_us,unoq_tmax_us,mcu_isr_max_us,temp_c,rss_rtapi_mb,rss_axis_mb,rss_task_mb,errors
1,2026-09-24T06:27:22,320,27.3,0,0,0,0,FALSE,375.6,266.6,97.2,2.24,53.2,59.2,198.9,18.7,
2,2026-09-24T06:37:24,184,11.3,0,0,0,0,FALSE,434.0,324.6,131.2,2.24,53.2,59.2,199.5,18.7,
3,2026-09-24T06:47:51,305,12.5,0,0,0,0,FALSE,386.2,301.0,162.7,2.24,54.4,59.2,199.6,18.7,
4,2026-09-24T06:57:53,282,12.2,0,0,0,0,FALSE,396.3,297.0,124.7,2.24,53.5,59.2,199.7,18.7,
5,2026-09-24T07:07:58,217,12.9,0,0,0,0,FALSE,295.3,262.7,126.2,2.24,52.9,59.2,199.8,18.7,
6,2026-09-24T07:18:04,220,12.2,0,0,0,0,FALSE,330.3,243.1,128.4,2.24,52.3,59.2,199.8,18.7,
7,2026-09-24T07:28:06,282,34.5,0,0,0,0,FALSE,342.4,246.3,114.8,2.24,51.3,59.2,200.0,18.7,
8,2026-09-24T07:38:08,281,15.5,0,0,0,0,FALSE,289.8,242.9,132.8,2.24,49.8,59.2,200.0,18.7,
9,2026-09-24T07:48:10,234,10.9,0,0,0,0,FALSE,399.7,284.5,131.5,2.24,49.2,59.2,200.0,18.7,
10,2026-09-24T07:58:17,319,12.8,0,0,0,0,FALSE,385.5,274.6,108.9,2.24,52.3,59.2,200.3,18.7,
11,2026-09-24T08:08:26,290,16.5,0,0,0,0,FALSE,376.8,299.0,118.1,2.24,52.9,59.2,200.4,18.7,
12,2026-09-24T08:18:28,300,11.4,0,0,0,0,FALSE,303.2,233.0,122.2,2.24,53.8,59.2,200.5,18.7,
13,2026-09-24T08:28:30,278,10.5,0,0,0,0,FALSE,396.9,300.1,130.8,2.24,53.5,59.2,200.6,18.7,
