2026-09-24T06:17:21 start: 10.0 h in 10.0 min blocks, Y0=+4.62094 rev, counts0=20282, csv=/home/arduino/arducnc-config/soak/soak-20260924-0617.csv
2026-09-24T06:27:22 block 1: 320 moves, ferror 27.3 steps, count err 0, late 0, link err 0, servo 375.6 us, 53.2 C
2026-09-24T06:37:24 block 2: 184 moves, ferror 11.3 steps, count err 0, late 0, link err 0, servo 434.0 us, 53.2 C
2026-09-24T06:47:51 block 3: 305 moves, ferror 12.5 steps, count err 0, late 0, link err 0, servo 386.2 us, 54.4 C
2026-09-24T06:57:54 block 4: 282 moves, ferror 12.2 steps, count err 0, late 0, link err 0, servo 396.3 us, 53.5 C
2026-09-24T07:07:59 block 5: 217 moves, ferror 12.9 steps, count err 0, late 0, link err 0, servo 295.3 us, 52.9 C
2026-09-24T07:18:04 block 6: 220 moves, ferror 12.2 steps, count err 0, late 0, link err 0, servo 330.3 us, 52.3 C
2026-09-24T07:28:06 block 7: 282 moves, ferror 34.5 steps, count err 0, late 0, link err 0, servo 342.4 us, 51.3 C
2026-09-24T07:38:08 block 8: 281 moves, ferror 15.5 steps, count err 0, late 0, link err 0, servo 289.8 us, 49.8 C
2026-09-24T07:48:10 block 9: 234 moves, ferror 10.9 steps, count err 0, late 0, link err 0, servo 399.7 us, 49.2 C
2026-09-24T07:58:18 block 10: 319 moves, ferror 12.8 steps, count err 0, late 0, link err 0, servo 385.5 us, 52.3 C
2026-09-24T08:08:26 block 11: 290 moves, ferror 16.5 steps, count err 0, late 0, link err 0, servo 376.8 us, 52.9 C
2026-09-24T08:18:29 block 12: 300 moves, ferror 11.4 steps, count err 0, late 0, link err 0, servo 303.2 us, 53.8 C
2026-09-24T08:28:30 block 13: 278 moves, ferror 10.5 steps, count err 0, late 0, link err 0, servo 396.9 us, 53.5 C
2026-09-24T08:38:35 block 14: 267 moves, ferror 11.5 steps, count err 0, late 0, link err 0, servo 389.1 us, 53.8 C
2026-09-24T08:48:42 block 15: 275 moves, ferror 12.6 steps, count err 0, late 0, link err 0, servo 424.1 us, 53.5 C
2026-09-24T08:58:49 block 16: 312 moves, ferror 12.3 steps, count err 0, late 0, link err 0, servo 342.9 us, 54.1 C
2026-09-24T09:09:10 block 17: 237 moves, ferror 11.1 steps, count err 0, late 0, link err 0, servo 430.2 us, 53.8 C
2026-09-24T09:19:23 block 18: 215 moves, ferror 13.6 steps, count err 0, late 0, link err 0, servo 312.1 us, 54.1 C
2026-09-24T09:29:25 block 19: 273 moves, ferror 14.2 steps, count err 0, late 0, link err 0, servo 333.5 us, 53.5 C
2026-09-24T09:39:29 block 20: 263 moves, ferror 13.4 steps, count err 0, late 0, link err 0, servo 318.2 us, 54.4 C
2026-09-24T09:49:31 block 21: 311 moves, ferror 10.5 steps, count err 0, late 0, link err 0, servo 404.5 us, 53.8 C
2026-09-24T09:59:33 block 22: 214 moves, ferror 12.6 steps, count err 0, late 0, link err 0, servo 349.2 us, 53.5 C
2026-09-24T10:09:40 block 23: 280 moves, ferror 11.7 steps, count err 0, late 0, link err 0, servo 398.5 us, 53.8 C
2026-09-24T10:19:43 block 24: 248 moves, ferror 10.8 steps, count err 0, late 0, link err 0, servo 323.0 us, 53.8 C
2026-09-24T10:30:01 block 25: 277 moves, ferror 10.4 steps, count err 0, late 0, link err 0, servo 431.0 us, 53.8 C
2026-09-24T10:40:03 block 26: 255 moves, ferror 10.6 steps, count err 0, late 0, link err 0, servo 326.7 us, 53.8 C
2026-09-24T10:50:06 block 27: 270 moves, ferror 16.7 steps, count err 0, late 0, link err 0, servo 297.3 us, 53.8 C
2026-09-24T11:00:08 block 28: 287 moves, ferror 12.8 steps, count err 0, late 0, link err 0, servo 379.5 us, 53.5 C
2026-09-24T11:10:19 block 29: 231 moves, ferror 12.1 steps, count err 0, late 0, link err 0, servo 358.8 us, 53.8 C
2026-09-24T11:20:24 block 30: 240 moves, ferror 9.6 steps, count err 0, late 0, link err 0, servo 303.3 us, 54.1 C
2026-09-24T11:30:38 block 31: 300 moves, ferror 11.4 steps, count err 0, late 0, link err 0, servo 424.3 us, 54.1 C
2026-09-24T11:40:39 block 32: 287 moves, ferror 11.9 steps, count err 0, late 0, link err 0, servo 302.6 us, 53.2 C
2026-09-24T11:50:45 block 33: 272 moves, ferror 13.3 steps, count err 0, late 0, link err 0, servo 317.7 us, 54.1 C
2026-09-24T12:00:47 block 34: 247 moves, ferror 11.7 steps, count err 0, late 0, link err 0, servo 361.6 us, 53.5 C
2026-09-24T12:10:53 block 35: 240 moves, ferror 9.3 steps, count err 0, late 0, link err 0, servo 386.2 us, 54.8 C
2026-09-24T12:20:54 block 36: 288 moves, ferror 8.8 steps, count err 0, late 0, link err 0, servo 402.8 us, 53.8 C
